Enhancer	Target_gene
TE_2119	VASH2
TE_582	FHL3
TE_582	UTP11
TE_985	UQCRH
TE_985	LRRC41
SE_58	ZC3H11A
SE_58	ZBED6
SE_19	KDF1
TE_12	C1QTNF12
TE_168	FBXO44
TE_168	FBXO6
TE_168	FBXO2
TE_162	MASP2
TE_162	SRM
TE_675	RC3H1
SE_33	FUBP1
SE_33	DNAJB4
SE_30	SLC16A1
SE_30	SLC16A1-AS1
SE_68	ETV3
TE_1535	SLC50A1
TE_1535	DPM3
TE_1535	EFNA1
TE_847	L1TD1
TE_118	LINC01715
TE_118	RNU11
TE_118	TAF12
TE_1535	RRAGC
TE_1189	SYTL1
SE_1	MORN1
SE_1	RER1
TE_1369	ZDHHC18
TE_1885	MFSD4A-AS1
TE_1885	MFSD4A
SE_5	ARHGEF10L
TE_367	ASAP3
SE_22	SCARNA1
SE_22	PPP1R8
TE_881	CTPS1
TE_871	TSACC
TE_871	CCT3
TE_1581	VASH2
TE_428	ACTG1P20
TE_428	TMEM222
TE_582	ISG20L2
TE_582	HDGF
TE_582	RRNAD1
TE_582	MRPL24
TE_300	MRPL20-AS1
TE_300	CCNL2
TE_300	MRPL20
TE_626	FLVCR1-DT
TE_626	SPATA45
TE_626	FLVCR1
TE_208	KAZN
TE_503	AK2
TE_562	CTPS1
TE_1329	PDE4DIP
TE_1329	LOC100996724
TE_1453	PEAR1
TE_1985	CNIH4
SE_1	ACTG1P20
SE_1	TMEM222
TE_582	STK40
TE_118	SYF2
TE_1704	LOC647070
TE_1704	DHX9
TE_443	SRSF4
TE_1503	LIN28A
TE_11	LINC01770
TE_11	VWA1
TE_11	ANKRD65
TE_11	TMEM88B
SE_1	ATAD3B
TE_296	HTR6
TE_652	TRMT13
TE_652	SASS6
SE_19	TENT5B
TE_562	PPIE
TE_434	SYTL1
TE_1503	SKI
TE_401	TMEM201
SE_30	FNBP1L
TE_237	SPATA21
TE_237	NECAP2
SE_19	LOC644634
TE_467	LOC647070
TE_467	DHX9
TE_1091	FBXO44
TE_1091	FBXO6
TE_1091	FBXO2
TE_1091	ZYG11B
TE_240	MIR3675
TE_1513	SYF2
SE_50	MCL1
SE_68	POGZ
TE_645	NCDN
TE_645	KIAA0319L
SE_30	MIR6808
SE_30	MXRA8
SE_30	DVL1
SE_62	EPHX1
TE_1369	PRRC2C
SE_59	NUAK2
TE_445	SRSF4
TE_242	LOC440570
TE_242	LINC01783
TE_242	MIR3675
TE_1828	PHLDA3
SE_26	YBX1
TE_2186	PCNX2
SE_67	ZBTB8OS
SE_67	RBBP4
TE_2186	ENAH
TE_1837	SNORA70H
TE_1837	RNPEP
TE_1986	RPS6KC1
SE_22	FGR
TE_881	CACHD1
TE_206	CAMTA1-DT
TE_206	CAMTA1
SE_56	MUTYH
SE_56	HPDL
SE_56	TOE1
TE_438	INAVA
SE_24	OSCP1
TE_691	STIL
TE_1985	PPP1R15B
TE_2186	SLC30A1
TE_53	DHRS3
SE_54	ATF6
TE_430	GPR3
TE_430	CD164L2
TE_430	FCN3
TE_411	DHDDS
SE_30	FBXO42
TE_1190	ZNF281
SE_58	CNIH3
SE_58	WDR26
SE_32	ROR1
TE_2186	PHF13
TE_2075	CNIH4
TE_297	MRTO4
TE_297	EMC1
TE_532	AGO1
TE_442	MIR4257
TE_442	ADAMTSL4-AS1
TE_442	ADAMTSL4
TE_18	SSU72
SE_64	ELK4
TE_851	MSH4
TE_851	SNORD45A
TE_851	SNORD45B
TE_851	RABGGTB
TE_851	SNORD45C
SE_1	LOC105373159
SE_1	RAB4A
TE_2186	TXLNA
TE_2075	DEGS1
TE_1241	MSH4
TE_1241	SNORD45A
TE_1241	SNORD45B
TE_1241	RABGGTB
TE_1241	SNORD45C
TE_871	L1TD1
TE_649	MRPS21
SE_31	CYB5RL
SE_31	MRPL37
TE_2071	FLVCR1-DT
TE_2071	SPATA45
TE_2071	FLVCR1
TE_2186	RASAL2-AS1
TE_2186	RASAL2
TE_1365	LOC100996740
SE_30	PLPP3
TE_1228	SLC16A1
TE_1228	SLC16A1-AS1
TE_168	MTOR
SE_36	SARS1
SE_22	WASF2
SE_54	ZNF281
SE_30	MIR4254
SE_30	ADGRB2
TE_1421	HAX1
TE_1986	FOXO6
TE_562	ICMT
TE_562	HES3
TE_562	LINC00337
TE_226	SLC25A34-AS1
TE_226	FBLIM1
TE_626	PHGDH
TE_497	KIAA1522
SE_24	NDUFS5
SE_68	C1orf229
SE_68	ZNF669
SE_68	FLJ39095
TE_8	LAMTOR5-AS1
TE_8	LAMTOR5
SE_53	KDM4A
TE_2231	SNORA14B
TE_2231	TOMM20
TE_881	L1TD1
SE_24	GABRD
TE_208	ADGRL2
SE_59	UQCRHL
TE_1381	MIR3675
TE_1427	SLC50A1
TE_1427	DPM3
TE_1427	EFNA1
TE_146	UBE4B
TE_2075	LOC100287497
TE_2075	GTF2IP20
TE_1444	MTX1
TE_1444	THBS3
TE_1444	MUC1
TE_1444	GBA
TE_1444	MIR92B
TE_1444	GBAP1
TE_1576	SEMA6C
TE_1431	MIR4258
TE_1431	FLAD1
TE_1431	PBXIP1
TE_1431	SHC1
TE_1431	PYGO2
TE_1431	CKS1B
TE_1431	LENEP
TE_1431	LOC101928120
SE_22	RSRP1
SE_22	RHD
TE_2186	CNIH3
TE_2186	WDR26
SE_24	PABPC4
SE_24	PABPC4-AS1
SE_24	SNORA55
SE_68	FLVCR1-DT
SE_68	SPATA45
SE_68	FLVCR1
TE_562	SYTL1
SE_64	CNIH4
SE_16	HMGN2
SE_16	DHDDS-AS1
SE_66	TMEM63A
SE_66	LEFTY1
TE_427	SYTL1
SE_24	CCN1
SE_24	DDAH1
TE_562	PRPF38B
TE_562	FHL3
TE_562	UTP11
SE_27	SLC16A1
SE_27	SLC16A1-AS1
SE_20	MAP3K6
TE_208	SPSB1
SE_64	BROX
SE_64	AIDA
SE_64	LZIC
SE_64	NMNAT1
SE_20	ACTG1P20
SE_20	TMEM222
SE_54	RAB3B
SE_476	ANKRD18B
SE_476	SUGT1P1
SE_476	C9orf129
TE_24730	C9orf129
TE_25409	UCK1
TE_24934	C9orf129
TE_25090	ZNF462
TE_25349	PIP5KL1
TE_25349	DPM2
TE_24516	IFNK
TE_24516	MOB3B
SE_485	ZMYND19
TE_25511	NOTCH1
TE_25511	MIR4674
TE_25511	NALT1
TE_24933	C9orf129
TE_24659	LINC00537
TE_24659	MIR4477A
TE_24659	MIR4477B
SE_481	POMT1
SE_481	SNORD62A
SE_481	SNORD62B
TE_25445	ADAMTS13
TE_25445	REXO4
SE_481	MIRLET7A1
TE_25298	NR6A1
TE_25298	OLFML2A
TE_25209	ANKS6
SE_476	CTSV
SE_485	TOR4A
SE_485	NRARP
SE_485	DPH7
TE_25357	SET
TE_24329	PUM3
TE_25394	SEC16A
TE_25394	C9orf163
SE_483	NDUFB6
TE_25328	SPOUT1
TE_25328	ENDOG
TE_25439	BARHL1
SE_477	TLE1
SE_477	LOC101927502
TE_24441	ELAVL2
SE_481	UCK1
SE_481	AIF1L
TE_25451	ADAMTS13
TE_25451	REXO4
TE_25409	NUP214
TE_25091	ZNF462
TE_25350	FAM102A
TE_25389	GPR107
TE_25389	FNBP1
SE_478	BICD2
TE_24361	GNAQ
TE_25425	ASS1
TE_24905	ASS1
TE_24839	GKAP1
TE_24929	C9orf129
TE_25394	PTENP1
TE_25394	PTENP1-AS
