Enhancer	Target_gene
TE_1031	TAS1R3
TE_1685	TOR3A
TE_439	RHBDL2
TE_2498	NUCKS1
SE_62	TIMM17A
SE_62	LMOD1
SE_27	ZDHHC18
TE_1721	LOC100288069
TE_1974	ABL2
SE_49	LMO4
TE_2315	UBAP2L
TE_2315	C1orf43
TE_1455	IER5
TE_1455	TMEM79
TE_1455	GLMP
TE_1455	SMG5
TE_1455	VHLL
SE_38	S100PBP
SE_38	YARS1
TE_309	NSL1
TE_309	TATDN3
TE_157	CROCCP3
SE_41	TRNP1
SE_8	FAM131C
TE_2549	PEX10
TE_94	CLSTN1
SE_38	UHMK1
SE_70	CNIH3
SE_70	WDR26
SE_49	VPS72
SE_49	PIP5K1A
TE_1047	F3
TE_1047	MIR12133
SE_70	NIT1
SE_70	PFDN2
TE_1447	LMNA
TE_402	MSH4
TE_402	SNORD45A
TE_402	SNORD45B
TE_402	RABGGTB
TE_402	SNORD45C
TE_154	SZRD1
SE_27	MACF1
TE_2545	TRNP1
TE_2297	DEGS1
TE_324	MED18
TE_325	MED18
TE_1438	MTX1
TE_1438	THBS3
TE_1438	MUC1
TE_1438	GBA
TE_1438	MIR92B
TE_1438	GBAP1
TE_1320	TXNIP
TE_1295	FAM72B
TE_376	ARL8A
TE_378	TXLNA
TE_80	GNB1
TE_912	F3
TE_912	MIR12133
TE_378	TRNP1
TE_1072	PPM1J
TE_1072	TAFA3
TE_1072	RHOC
TE_79	SPSB1
SE_68	SMYD2
TE_2029	GNB1
TE_2042	NBPF15
TE_1031	F3
TE_1031	MIR12133
TE_2411	SNORA14B
TE_2411	TOMM20
SE_50	PHTF1
TE_484	ARNT
TE_1329	TXNIP
TE_54	PARK7
TE_40	DNAJC11
SE_70	TP53BP2
TE_1724	PSMD4
SE_39	MIR4258
SE_39	FLAD1
SE_39	PBXIP1
SE_39	SHC1
SE_39	PYGO2
SE_39	CKS1B
SE_39	LENEP
SE_39	LOC101928120
SE_49	RGS4
TE_304	TRNP1
SE_61	QSOX1
TE_210	PRKCZ-AS1
TE_210	FAAP20
TE_561	STIL
TE_1390	ADAMTSL4-AS1
TE_1390	MCL1
SE_52	SNAPIN
TE_1429	ADAR
TE_2336	COQ8A
TE_2010	ZC3H11A
TE_2010	ZBED6
SE_38	PTCH2
TE_88	ERRFI1
TE_799	B4GALT3
TE_799	USP21
TE_799	PPOX
TE_799	UFC1
TE_515	YTHDF2
TE_305	SNRPE
TE_234	LMNA
TE_1388	ALG14
TE_400	RNF19B
TE_371	PTP4A2
TE_1387	MIR4257
TE_1387	ADAMTSL4
TE_759	JAK1
TE_2305	CAPN2
TE_1292	RNVU1-14
TE_497	YBX1
TE_228	USP48
TE_852	ERRFI1
TE_2075	SRSF4
TE_545	LOC101928436
TE_545	RNPC3
TE_1423	GATAD2B
SE_39	F3
SE_39	MIR12133
TE_1447	SCARNA4
TE_1447	KHDC4
TE_1447	RXFP4
TE_1976	NADK
SE_68	SNORD81
SE_68	SNORD47
SE_68	SNORD80
SE_68	SNORD79
SE_68	SNORD78
SE_68	SNORD44
SE_68	SNORA103
SE_68	SNORD77
SE_68	SNORD75
SE_68	SNORD74
SE_68	GAS5
SE_68	GAS5-AS1
SE_68	ZBTB37
SE_68	SNORD76
TE_1976	NSL1
TE_1976	TATDN3
TE_778	PLPP3
TE_2029	MIR4684
TE_2029	EPHB2
TE_1283	CTTNBP2NL
TE_1201	MIR4256
TE_1201	WNT2B
TE_157	MFN2
TE_424	THRAP3
TE_1314	ZNF687-AS1
TE_1314	ZNF687
TE_1320	NDUFS5
TE_1976	PLPP3
TE_1088	FUBP1
TE_1088	DNAJB4
TE_1682	SLC50A1
TE_1682	DPM3
TE_1682	EFNA1
TE_852	ZZZ3
TE_2078	DDR2
TE_400	RIT1
TE_400	SNORA80E
TE_1682	SOAT1
TE_1506	UHMK1
TE_1974	MGST3
TE_1508	RC3H1
TE_799	PHC2
TE_799	PHC2-AS1
