Enhancer	Target_gene
TE_2416	GCSAML-AS1
TE_2416	OR2C3
TE_763	OMA1
TE_1551	SH2D2A
TE_1551	NTRK1
TE_1955	PTPN7
TE_1955	PTPRVP
TE_1168	FAM102B
TE_1286	PDE4DIP
TE_172	CLCN6
TE_172	MTHFR
SE_91	ISG20L2
SE_91	HDGF
SE_91	RRNAD1
SE_91	MRPL24
TE_1952	SNORA70H
TE_1952	RNPEP
SE_50	OTUD7B
TE_33	TRIM17
TE_33	MIR6742
TE_33	H3-4
TE_33	TRIM11
TE_1956	PTPN7
TE_1956	PTPRVP
TE_1141	TSACC
TE_1141	CCT3
SE_21	C1orf232
SE_21	CNKSR1
SE_21	ZNF593
TE_764	SARS1
TE_1220	NBPF11
TE_1220	LINC02805
TE_1101	GCLM
TE_1519	YY1AP1
TE_1519	SCARNA26A
TE_1519	DAP3
TE_408	SYTL1
TE_299	USP48
TE_1551	ADAMTS4
TE_1551	NDUFS2
TE_2140	IARS2
TE_2140	BPNT1
TE_422	PHACTR4
SE_12	RNVU1-18
SE_12	RNU1-3
SE_12	RNU1-4
SE_12	RNU1-2
SE_12	RNU1-1
SE_12	MIR3675
TE_461	GNB1
SE_72	FDPS
SE_72	PKLR
TE_42	RNF187
SE_31	PTP4A2
TE_1322	SRGAP2D
TE_226	SPATA21
TE_226	NECAP2
SE_98	LINC02608
SE_98	PPP2R5A
TE_499	AK2
TE_1437	MIR4257
TE_1437	ADAMTSL4-AS1
TE_1437	ADAMTSL4
SE_18	NBPF3
TE_2127	S100PBP
TE_2127	YARS1
TE_1335	LOC102723769
TE_475	SLC2A1-AS1
TE_475	SLC2A1
TE_432	EPB41
SE_63	LINC00623
SE_63	LINC00869
SE_63	LOC100996720
TE_2195	SRP9
SE_104	SERBP1
TE_1519	ASH1L-AS1
TE_1519	ASH1L
SE_80	DCAF6
SE_80	MPC2
SE_24	TRNP1
TE_1184	NOS1AP
TE_1330	UCK2
SE_63	PDE4DIP
TE_2023	FAM72A
TE_2023	FAM72C
TE_260	PHACTR4
SE_95	RLF
TE_2164	LOC100133331
TE_1341	SRGAP2D
TE_1669	DCAF6
TE_1669	MPC2
TE_367	LOC102724450
TE_367	RNF207
TE_367	RPL22
SE_57	ATP1A1
TE_2178	LOC100288069
TE_337	RPL11
TE_432	YTHDF2
SE_57	CEP85
SE_57	ZPLD2P
TE_1527	ARHGEF2
TE_432	SNORA73A
TE_432	SNORA73B
TE_432	SNHG3
TE_432	RCC1
SE_79	TRAPPC3
SE_79	MAP7D1
TE_1348	RSRP1
TE_1348	TMEM50A
TE_354	PDIK1L
TE_1351	LINC00623
TE_1351	LINC00869
TE_1351	LINC01145
TE_2348	TXNDC12-AS1
TE_2348	BTF3L4
TE_2348	TXNDC12
SE_21	PAFAH2
TE_2416	CLCN6
TE_2416	MTHFR
TE_2110	SRRM1
SE_45	OTUD7B
TE_444	CRABP2
TE_1615	FCRLB
TE_2180	YBX1
SE_109	SNORA14B
SE_109	TOMM20
TE_380	PAQR7
TE_1329	PAFAH2
TE_1426	PRPF3
TE_608	MYCL
TE_424	PHACTR4
TE_519	HNRNPR
TE_436	SNORA73A
TE_436	SNORA73B
TE_436	SNHG3
TE_436	RCC1
TE_13068	LOC101926935
SE_402	NOL4L-DT
SE_402	NOL4L
TE_13065	CHD6
SE_402	ACOT8
SE_402	ZSWIM3
TE_13301	PREX1
TE_12885	RBCK1
TE_13310	ZFAS1
TE_13310	SNORD12C
TE_13310	SNORD12B
TE_13310	SNORD12
TE_13310	ZNFX1
SE_400	HM13
TE_13290	ZMYND8
TE_13290	LOC101927377
SE_401	HM13
TE_13415	RPS21
SE_402	TGM2
SE_401	PDRG1
SE_406	AURKA
SE_406	CSTF1
TE_13332	RIPOR3
SE_402	DNMT3B
TE_13408	BCL2L1
TE_13408	ABALON
SE_397	EIF6
SE_397	MMP24-AS1-EDEM2
SE_397	MMP24OS
SE_397	FAM83C-AS1
SE_397	FAM83C
TE_13374	CASS4
TE_12895	RBCK1
SE_401	COX4I2
SE_402	ACTL10
SE_402	NECAB3
SE_402	C20orf144
TE_13103	E2F1
SE_400	ID1
SE_400	MIR3193
TE_12909	TMEM74B
SE_396	TRIB3
TE_13439	DNMT3B
TE_12887	TRIB3
SE_402	HM13
SE_414	LOC105372672
SE_411	RNF114
TE_13308	ZFAS1
TE_13308	SNORD12C
TE_13308	SNORD12B
TE_13308	SNORD12
TE_13308	ZNFX1
SE_401	TPX2
SE_400	BCL2L1
SE_400	ABALON
TE_13423	TCFL5
SE_401	ID1
SE_401	MIR3193
TE_13320	RNF114
SE_681	CHMP7
TE_21586	LINC00861
SE_701	PVT1
SE_701	MIR1204
SE_686	LYN
TE_21012	RAB11FIP1
TE_21284	OSGIN2
TE_21615	LINC00861
TE_21587	LINC00861
TE_21281	DCAF4L2
SE_702	LINC00861
TE_20822	FDFT1
SE_697	ZHX1
SE_697	ZHX1-C8orf76
TE_21535	ZHX1
TE_21535	ZHX1-C8orf76
SE_698	FAM83A
TE_21015	ASH2L
TE_20753	ZNF596
TE_20753	RPL23AP53
TE_21012	ASH2L
TE_21615	AGO2
TE_21442	KLF10
TE_21442	LOC101927245
TE_21012	PLPBP
SE_694	KLF10
SE_694	LOC101927245
SE_686	PLAG1
SE_686	CHCHD7
SE_702	ERI1
SE_701	CASC11
SE_701	MYC
TE_21006	EIF4EBP1
TE_20884	GPIHBP1
TE_21537	ZHX1
TE_21537	ZHX1-C8orf76
TE_20855	IKBKB
TE_20855	LOC101929897
TE_21238	ELOC
TE_21238	TMEM70
SE_701	EIF3E
TE_20786	FAM86B2
TE_20786	LOC100506990
TE_20902	TNFRSF10A
TE_20902	LOC389641
TE_21238	ZC3H3
TE_21238	GSDMD
TE_21238	LOC100310756
TE_10188	R3HDM4
TE_10188	KISS1R
TE_10188	ARID3A
SE_351	ZNF320
TE_10197	RPS15
TE_10197	APC2
SE_350	C19orf84
SE_350	LIM2
TE_10537	ZNF43
TE_10197	LYPLA2P2
TE_10197	LRRC8E
TE_10197	MAP2K7
SE_330	OR4F17
TE_10264	TNFAIP8L1
TE_10315	DACT3
TE_10315	DACT3-AS1
TE_10196	R3HDM4
TE_10196	KISS1R
TE_10196	ARID3A
TE_10868	C19orf84
TE_10868	LIM2
TE_10210	CSNK1G2
TE_10692	RDH13
TE_10692	EPS8L1
SE_340	ZNF429
SE_349	SIGLEC8
TE_10189	R3HDM4
TE_10189	KISS1R
TE_10189	ARID3A
TE_10807	TEAD2
TE_10807	DKKL1
TE_10197	C19orf25
TE_10816	DHDH
TE_10334	ANGPTL4
TE_10538	ZNF43
TE_10402	RAD23A
TE_10402	DAND5
TE_10402	SYCE2
TE_10402	GADD45GIP1
TE_10402	MIR5695
TE_10402	FARSA-AS1
TE_10402	MIR6515
TE_10402	FARSA
TE_10402	CALR
TE_10827	BCL2L12
TE_10827	IRF3
TE_10827	CPT1C
TE_10827	PRMT1
TE_10827	MIR5088
TE_10827	ADM5
TE_10783	NOP53
TE_10783	SNORD23
TE_10683	CYP2T1P
TE_10683	EGLN2
TE_10910	TNNT1
TE_10910	TNNI3
TE_10910	DNAAF3
TE_10910	SYT5
TE_10294	DUS3L
TE_10294	PRR22
TE_10248	TBXA2R
TE_10248	CACTIN-AS1
TE_10425	DDX39A
TE_10736	ERCC2
SE_343	HNRNPL
TE_10197	ADAMTSL5
TE_10854	NR1H2
TE_10854	POLD1
TE_10854	NAPSA
TE_10736	RTN2
TE_10736	VASP
TE_10736	FOSB
TE_10736	PPM1N
SE_352	TNNT1
SE_352	TNNI3
SE_352	DNAAF3
SE_352	SYT5
TE_10426	HOOK2
TE_10426	RNASEH2A
TE_10426	MIR5684
TE_10426	JUNB
TE_10426	PRDX2
TE_10676	CYP2T1P
TE_10676	EGLN2
TE_10294	MLLT1
TE_10188	ARHGAP45
TE_10763	NPAS1
TE_10761	PRKD2
TE_10761	MIR320E
TE_10200	MEX3D
TE_10783	C5AR2
TE_10783	DHX34
TE_10185	PALM
TE_10725	APOE
TE_10725	APOC1
TE_10363	ICAM5
TE_10363	ICAM4
TE_10884	CNOT3
TE_10853	JOSD2
TE_10853	ASPDH
TE_10735	RTN2
TE_10735	VASP
TE_10735	FOSB
TE_10735	PPM1N
TE_10692	KCNN4
TE_10882	ZNF701
TE_10246	GIPC3
TE_10246	HMG20B
TE_10513	TMEM161A
TE_10357	ICAM3
TE_10357	RAVER1
TE_10181	CAPN12
SE_341	MFSD12
SE_351	ZNF611
TE_10783	CCDC9
TE_10543	SLC25A42
TE_10179	MADCAM1
TE_10761	FOXA3
TE_10761	SYMPK
TE_10819	TEAD2
TE_10819	DKKL1
SE_339	GMIP
SE_337	IQCN
SE_337	JUND
SE_337	MIR3188
TE_10236	TLE5
TE_10236	TLE2
TE_10475	NXNL1
TE_10475	SLC27A1
TE_10218	ZNF57
SE_351	ZNF83
SE_341	ZNF816
SE_341	ZNF816-ZNF321P
TE_10925	ISOC2
SE_341	ADGRE5
TE_10910	ZNF580
TE_10910	ZNF581
TE_10910	U2AF2
TE_10910	CCDC106
TE_10910	GP6
TE_10807	PTOV1
TE_10807	AKT1S1
TE_10807	PNKP
TE_10807	TBC1D17
TE_10807	PTOV1-AS1
TE_10807	MIR4749
TE_10807	PTOV1-AS2
TE_10807	MIR4750
TE_10807	IL4I1
TE_10500	FKBP8
TE_10854	HOOK2
TE_10854	RNASEH2A
TE_10854	MIR5684
TE_10854	JUNB
